Occupation Title,Occupation Code,Employment 2019,Employment 2029,"Employment Change, 2019-2029","Employment Percent Change, 2019-2029","Occupational Openings, 2019-2029 Annual Average",Median Annual Wage 2019,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
Anesthesiologists,29-1211,33.8,34,0.2,0.5,0.9,">=208,000",Doctoral or professional degree,1,None,4,Internship/residency,1
Obstetricians and gynecologists,29-1218,20.3,20.1,-0.3,-1.4,0.5,">=208,000",Doctoral or professional degree,1,None,4,Internship/residency,1
Oral and maxillofacial surgeons    * Dental Surgeon* Maxillofacial Surgeon* Oral Surgeon,29-1022,5.6,5.7,0.1,2.4,0.2,">=208,000",Doctoral or professional degree,1,None,4,Internship/residency,1
Orthodontists    * Dentofacial Orthopedics Dentist* Invisible Braces Orthodontist* Orthodontist* Pediatric Orthodontist,29-1023,7.2,7.3,0.2,2.4,0.2,">=208,000",Doctoral or professional degree,1,None,4,Internship/residency,1
Prosthodontists    * Maxillofacial Prosthetics Dentist* Maxillofacial Prosthodontist* Prosthodontist* Reconstructive Dentist,29-1024,0.6,0.6,0,2.2,0,">=208,000",Doctoral or professional degree,1,None,4,Internship/residency,1
Psychiatrists,29-1223,27.9,31.3,3.3,11.9,1.1,">=208,000",Doctoral or professional degree,1,None,4,Internship/residency,1
"Surgeons, except ophthalmologists",29-1248,39.6,38.8,-0.9,-2.2,1,">=208,000",Doctoral or professional degree,1,None,4,Internship/residency,1
"Physicians, all other; and ophthalmologists, except pediatric",29-1228,429.5,447.9,18.5,4.3,13.6,"206,500",Doctoral or professional degree,1,None,4,Internship/residency,1
Family medicine physicians,29-1215,119.3,126.6,7.3,6.1,4,"205,590",Doctoral or professional degree,1,None,4,Internship/residency,1
General internal medicine physicians,29-1216,49.5,49.2,-0.3,-0.6,1.3,"201,590",Doctoral or professional degree,1,None,4,Internship/residency,1
